,word,detail,code
260,eavesdropper,eavesdrop,11
261,edger,edge,11
262,electrolyser,electrolyse,11
263,electroreceptor,electroreception,11
264,elicitor,elicit,11
265,embalmer,embalm,11
266,embezzler,embezzle,11
267,embroiderer,embroider,11
268,emulator,emulate,11
269,enactor,enact,11
270,enameller,enamel,11
271,encoder,encode,11
272,encourager,encourage,11
273,endorser,endorse,11
274,energizer,energize,11
275,engraver,engrave,11
276,enjoyer,enjoy,11
277,enlightener,enlighten,11
278,enlister,enlist,11
279,enlivener,enliven,11
280,enquirer,enquire,11
281,enticer,entice,11
282,eradicator,eradicate,11
283,escaper,escape,11
284,espouser,espouse,11
285,establisher,establish,11
286,etcher,etch,11
287,ethnographer,ethnography,11
288,evader,evade,11
289,evaluator,evaluate,11
290,evaporator,evaporate,11
291,evoker,evoke,11
292,exaggerator,exaggerate,11
293,exchanger,exchange,11
294,excluder,exclude,11
295,exfoliator,exfoliate,11
296,exhauster,exhaust,11
297,exhorter,exhort,11
298,expander,expand,11
299,expediter,expedite,11
300,experiencer,experience,11
301,exploder,explode,11
302,exploiter,exploit,11
303,exposer,expose,11
304,expounder,expound,11
305,expropriator,expropriate,11
306,extortioner,extortion,11
307,fabricator,fabricate,11
308,factfinder,fact-finding,11
309,fanner,fan,11
310,fastener,fasten,11
311,favourer,favour,11
312,fearmonger,fearmongering,11
313,feaster,feast,11
314,fellator,fellatio,11
315,fencer,fence,11
316,feoffor,feoffment,11
317,ferreter,ferret,11
318,fibber,fib,11
319,fieldworker,fieldwork,11
320,fifer,fife,11
321,filer,file,11
322,filleter,fillet,11
323,fingerpicker,fingerpick,11
324,firer,fire,11
325,flagger,flag,11
326,flatliner,flatline,11
327,flattener,flatten,11
328,flinger,fling,11
329,flusher,flush,11
330,flutterer,flutter,11
331,fomenter,foment,11
332,fondler,fondle,11
333,forager,forage,11
334,forcer,force,11
335,forgetter,forget,11
336,formulator,formulate,11
337,fornicator,fornicate,11
338,fortifier,fortify,11
339,fowler,fowling,11
340,franchiser,franchise,11
341,franker,frank,11
342,freeholder,freehold,11
343,freestyler,freestyle,11
344,frisker,frisk,11
345,frontbencher,front bench,11
346,fumigator,fumigate,11
347,fundholder,fundholding,11
348,furtherer,further,11
349,gainer,gain,11
350,galloper,gallop,11
351,gatecrasher,gatecrash,11
352,gatherer,gather,11
353,gauger,gauge,11
354,gawker,gawk,11
355,gawper,gawp,11
356,gazer,gaze,11
357,gentrifier,gentrify,11
358,geomancer,geomancy,11
359,giggler,giggle,11
360,gilder,gild,11
361,ginner,gin,11
362,glassmaker,glassmaking,11
363,glazer,glaze,11
364,gleaner,glean,11
365,glosser,gloss,11
366,gossiper,gossip,11
367,gouger,gouge,11
368,grabber,grab,11
369,grafter,graft,11
370,grainer,grain,11
371,granter,grant,11
372,granulator,granulate,11
373,grappler,grapple,11
374,grazer,graze,11
375,grifter,grift,11
376,griller,grill,11
377,grinner,grin,11
378,gripper,grip,11
379,groaner,groan,11
380,groomer,groom,11
381,grouser,grouse,11
382,groveller,grovel,11
383,grudger,grudge,11
384,grumbler,grumble,11
385,guesser,guess,11
386,guider,guide,11
387,gunfighter,gunfight,11
388,guzzler,guzzle,11
389,gyrator,gyrate,11
390,haggler,haggle,11
391,hailer,hail,11
392,hankerer,hanker,11
393,harasser,harass,11
394,hardener,harden,11
395,harmonizer,harmonize,11
396,haunter,haunt,11
397,hearer,hear,11
398,heaver,heave,11
399,hedger,hedge,11
400,hellenizer,Hellenize,11
401,hibernator,hibernate,11
402,hider,hide,11
403,highlander,highland,11
