,word,detail,code
2124,collator,other,0
2125,collector,other,0
2127,collider,other,0
2129,collimator,other,0
2143,combiner,other,0
2145,comer,other,0
2149,commentator,other,0
2159,communicator,other,0
2160,commutator,other,0
2161,commuter,other,0
2162,comonomer,other,0
2170,comper,other,0
2173,competitor,other,0
2174,compiler,other,0
2178,complementizer,other,0
2181,composer,other,0
2184,compounder,other,0
2187,compressor,other,0
2195,computer,other,0
2201,concealer,other,0
2206,conciliator,other,0
2211,condenser,other,0
2214,conditioner,other,0
2220,coneflower,other,0
2222,confectioner,other,0
2245,connector,other,0
2251,conqueror,other,0
2256,conservator,other,0
2270,consumer,other,0
2271,contactor,other,0
2272,container,other,0
2275,contender,other,0
2278,continuator,other,0
2281,contractor,other,0
2287,contributor,other,0
2290,convector,other,0
2292,convener,other,0
2294,conventioneer,other,0
2298,converter,other,0
2302,conveyor,other,0
2306,cooker,other,0
2307,cooler,other,0
2316,coordinator,other,0
2321,copier,other,0
2323,copolymer,other,0
2325,coprocessor,other,0
2327,copter,other,0
2329,copyholder,other,0
2332,copywriter,other,0
2344,corker,other,0
2350,cornflower,other,0
2356,corporator,other,0
2358,corrector,other,0
2376,coster,other,0
2385,cottager,other,0
2410,coupler,other,0
2421,covenantor,other,0
2426,cowcatcher,other,0
2432,cracker,other,0
2445,crammer,other,0
2448,crapper,other,0
2456,crawler,other,0
2457,creamer,other,0
2461,creator,other,0
2463,creditor,other,0
2465,creeper,other,0
2479,cricketer,other,0
2486,crimper,other,0
2487,crippler,other,0
2488,crisper,other,0
2492,croaker,other,0
2495,crofter,other,0
2499,crooner,other,0
2500,cropper,other,0
2504,crossbar,other,0
2510,crossover,other,0
2515,crowbar,other,0
2525,cruncher,other,0
2527,crusader,other,0
2532,cryer,other,0
2552,cultivator,other,0
2570,curler,other,0
2573,curricular,other,0
2582,customer,other,0
2587,cutover,other,0
2588,cutter,other,0
2590,cutwater,other,0
2597,cyder,other,0
2603,cytometer,other,0
2630,dampener,other,0
2631,damper,other,0
2637,dancer,other,0
2638,dancewear,other,0
2651,darter,other,0
2652,dasher,other,0
2661,dater,other,0
2662,dauber,other,0
2674,daytimer,other,0
2676,daywear,other,0
2678,dazzler,other,0
2683,dealer,other,0
2684,dealmaker,other,0
2692,debater,other,0
2697,debtor,other,0
2698,debugger,other,0
2699,debunker,other,0
2701,decanter,other,0
2709,decider,other,0
2711,decipherer,other,0
2715,declarator,other,0
2716,declarer,other,0
2718,decoder,other,0
2719,decomposer,other,0
2720,decompressor,other,0
2722,decorator,other,0
2728,dedicator,other,0
2732,deepwater,other,0
2736,deerstalker,other,0
2738,defaulter,other,0
2739,defeater,other,0
2740,defector,other,0
2741,defender,other,0
2743,defibrillator,other,0
2748,deflector,other,0
2749,defoliator,other,0
2759,dehumidifier,other,0
2783,demerger,other,0
2784,demisemiquaver,other,0
2793,demonstrator,other,0
2803,denigrator,other,0
2809,denominator,other,0
2813,densitometer,other,0
2815,denunciator,other,0
2821,depilator,other,0
2825,depositor,other,0
2828,depredator,other,0
2830,depressor,other,0
2833,deregister,other,0
2839,descender,other,0
2842,descriptor,other,0
2844,deserter,other,0
2846,desiccator,other,0
2848,designer,other,0
2859,destroyer,other,0
2865,detector,other,0
2867,determiner,other,0
2872,detonator,other,0
2874,detractor,other,0
2883,developer,other,0
2887,devisor,other,0
2892,dewater,other,0
2901,dialler,other,0
2908,diastereoisomer,other,0
2909,dibber,other,0
2918,diddler,other,0
2928,diffractometer,other,0
2930,diffuser,other,0
2931,digester,other,0
2934,digger,other,0
2945,dilator,other,0
2952,dimmer,other,0
2955,diner,other,0
2960,dipper,other,0
2968,disarmer,other,0
2972,disbeliever,other,0
2975,discharger,other,0
2977,disclaimer,other,0
2981,discounter,other,0
2982,discoverer,other,0
2983,discriminator,other,0
2988,disempower,other,0
2990,disgorger,other,0
2993,dishwasher,other,0
2994,dishwater,other,0
3004,dispatcher,other,0
3005,dispenser,other,0
3015,disremember,other,0
3023,dissenter,other,0
3028,distiller,other,0
3032,distractor,other,0
3035,distributor,other,0
3038,ditchwater,other,0
3044,divemaster,other,0
3045,diver,other,0
3050,divider,other,0
3068,docker,other,0
3077,dodger,other,0
3079,doer,other,0
3082,dogcatcher,other,0
3098,dolorimeter,other,0
3116,doomsayer,other,0
3118,doomster,other,0
3122,doorkeeper,other,0
3143,dosimeter,other,0
3144,dosser,other,0
3153,doubter,other,0
3160,downer,other,0
3161,downhiller,other,0
3163,downlighter,other,0
3165,downriver,other,0
3171,dozer,other,0
3174,dragger,other,0
3178,dragster,other,0
3180,drainer,other,0
3184,drawbar,other,0
3185,drawer,other,0
3189,dreamer,other,0
3195,dredger,other,0
3207,dressmaker,other,0
3215,drifter,other,0
3218,drinker,other,0
3223,driver,other,0
3242,drummer,other,0
3268,dumper,other,0
3281,duplicator,other,0
3290,duster,other,0
3296,dweller,other,0
3303,dyer,other,0
3322,earner,other,0
3326,earthstar,other,0
3331,easterner,other,0
3334,eater,other,0
3361,educator,other,0
3366,effector,other,0
3385,eigenvector,other,0
3399,ejaculator,other,0
3400,ejector,other,0
3411,elderflower,other,0
3413,electioneer,other,0
3414,elector,other,0
3417,electrodynamometer,other,0
3419,electrometer,other,0
3429,eliminator,other,0
3452,emancipator,other,0
3458,embitter,other,0
3464,emitter,other,0
3471,employer,other,0
3473,empower,other,0
3478,emulsifier,other,0
3479,enabler,other,0
3486,enchanter,other,0
3496,endear,other,0
3500,endmember,other,0
3504,endpaper,other,0
3511,enforcer,other,0
3520,enhancer,other,0
3522,enlarger,other,0
3532,entertainer,other,0
3534,enumerator,other,0
3542,epilator,other,0
3548,equalizer,other,0
3551,equivocator,other,0
3553,eraser,other,0
3557,erector,other,0
3558,ergometer,other,0
3589,estimator,other,0
3632,evildoer,other,0
3639,examiner,other,0
3643,excavator,other,0
3649,exciter,other,0
3653,executioner,other,0
3657,exerciser,other,0
3660,exhibitioner,other,0
3661,exhibitor,other,0
3667,exor,other,0
3674,experimenter,other,0
3675,explainer,other,0
3679,explorer,other,0
